	graphemes	phonemes	phones	lang
653	English	ˈɪŋglɪʃ	ˈɪŋglɪʃ	eng
654	or	ˈɔɹ	ˈɔɹ	eng
655	other	ˈʌðɝ	ˈʌðɝ	eng
656	languages	lˈæŋgwʌʤʌz	lˈæŋgwʌʤʌz	eng
657				eng
658	so	sˈoʊ	sˈoʊ	eng
659	I	ˈaɪ	ˈaɪ	eng
660	I	ˈaɪ	ˈaɪ	eng
661	don't	dˈoʊnt	dˈoʊnt	eng
662	want	wˈɑnt	wˈɑnt	eng
663	to	tˈu	tˈu	eng
664	speak	spˈik	spˈik	eng
665	I	ˈaɪ	ˈaɪ	eng
666	I	ˈaɪ	ˈaɪ	eng
667	just	ʤˈʌst	ʤˈʌs	eng
668	listen 	lˈɪsʌn 	lˈisʌn 	eng
669	but	bˈʌt	bˈʌ	eng
670				eng
671	I	ˈaɪ	ˈaɪ	eng
672	I	ˈaɪ	ˈaɪ	eng
673	have	hˈæv	hˈæv	eng
674	to	tˈu	tˈu	eng
675	I	ˈaɪ	ˈaɪ	eng
676	have	hˈæv	hˈæv	eng
677	to	tˈu	tˈu	eng
678	learn	lˈɝn	lˈɝn	eng
679	I	ˈaɪ	ˈaɪ	eng
680	have	hˈæv	hˈæv	eng
681	to	tˈu	tˈu	eng
682	read	ɹˈɛd	ɹˈid	eng
683	I	ˈaɪ	ˈaɪ	eng
684	have	hˈæv	hˈæv	eng
685	to	tˈu	tˈu	eng
686	uh	ˈʌ	ˈʌ	eng
687	learn	lˈɝn	lˈɝn	eng
688	the	ðʌ	ðə	eng
689	words	wˈɝdz	wˈɝdz	eng
690	from	fɹˈʌm	fɹˈʌm	eng
691				eng
692	actually	ˈækʧˌuʌli	ˈækʧˌuʌl	eng
693	my	mˈaɪ	mˈaɪ	eng
694	German	ʤˈɝmʌn	ʤˈɝmən	eng
695				eng
696	almost	ˈɔlmˌoʊst	ˈɔlmˌoʊst	eng
697	come	kˈʌm	kˈʌm	eng
698	from	fɹˈʌm	fɹˈʌm	eng
699	the	ðʌ	ðə	eng
700	shops	ʃˈɑps	ʃˈɒps	eng
701	the	ðʌ	ðəʔ	eng
702	supermarket	sˈupɝmˌɑɹkɪt	sˈupɝmˌɑɹkt	eng
703	uh	ˈʌ	ˈʌ	eng
704	and	ʌnd	ən	eng
705	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
706	from	fɹˈʌm	fɹˈʌm	eng
707	online	ˈɔnlˌaɪn	ˈɔnlˌaɪn	eng
708	shops	ʃˈɑps	ʃˈɒps	eng
709				eng
710	when	wˈɛn	wˈɛn	eng
711	you	jˈu	jˈu	eng
712	/w/	w	w	eng
713	when	wˈɛn	wˈɛn	eng
714	you	jˈu	jˈu	eng
715	want	wˈɑnt	wˈɑnt	eng
716	to	tˈu	tˈu	eng
717	buy	bˈaɪ	bˈaɪ	eng
718	something	sˈʌmθɪŋ	sˈʌmθɪŋ	eng
719	you	jˈu	jˈu	eng
720	have	hˈæv	hˈæv	eng
721	to	tˈu	tˈu	eng
722	learn	lˈɝn	lˈɝn	eng
723	you	jˈu	jˈu	eng
724	you	jˈu	jˈu	eng
725	have	hˈæv	hˈæv	eng
726	to	tˈu	tˈu	eng
727	know	nˈoʊ	nˈoʊ	eng
728	what	wˈʌt	wˈʌt	eng
729	it	ˈɪt	ˈɪt	eng
730	is	ˈɪz	ˈɪz	eng
731	what	wˈʌt	wˈʌt	eng
732	it	ˈɪt	ˈɪt	eng
733	is	ˈɪz	ˈɪz	eng
734	exactly	ɪgzˈæktli	ɪgzˈætli	eng
735	of	ˈʌv	ˈʌv	eng
736	/ɒ/	ɒ	ɒ	eng
737	of	ˈʌv	ˈʌv	eng
738	cosmetics	kɑzmˈɛtɪks	kɑzmˈɛtɪks	eng
739	of	ˈʌv	ˈʌv	eng
740	foods	fˈudz	fˈuz	eng
741	of	ˈʌv	ˈʌv	eng
742	uh	ˈʌ	ˈʌ	eng
743				eng
744	of	ˈʌv	ˈʌv	eng
745				eng
746	uh	ˈʌ	ˈʌ	eng
747				eng
748	you	jˈu	jˈu	eng
749	you	jˈu	jˈu	eng
750	need	nˈid	nˈid	eng
751	to	tˈu	tˈu	eng
752	know	nˈoʊ	nˈoʊ	eng
753	clearly	klˈɪɹli	klˈɪɹli	eng
754	and	ʌnd	æn	eng
755	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
756	from	fɹˈʌm	fɹˈʌm	eng
757	the	ðʌ	ðə	eng
758	milk	mˈɪlk	mˈɪlk	eng
759	powder	pˈaʊdɝ	pˈaʊdɝ	eng
760	and	ʌnd	æn	eng
761				eng
762	and	ʌnd	ænd	eng
763	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
764	from	fɹˈʌm	fɹˈʌm	eng
765	the	ðʌ	ðə	eng
766	emails	imˈeɪlz	imˈeɪlz	eng
767	coz	kˈɑz	kˈɑz	eng
768	you	jˈu	jˈu	eng
769	need	nˈid	nˈid	eng
770	to	tˈu	tˈu	eng
771				eng
772	communicate	kʌmjˈunʌkˌeɪt	kʌmjˈunʌkˌeɪt	eng
773	with	wˈɪð	wˈɪð	eng
774	them	ðˈɛm	ðˈɛm	eng
775	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
776	they	ðˈeɪ	ðˈeɪ	eng
777	they	ðˈeɪ	ðˈeɪ	eng
778				eng
779	they	ðˈeɪ	ðˈeɪ	eng
780	forgot	fɝgˈɑt	fɝgˈɑt	eng
781	you	jˈu	jˈu	eng
782	they	ðˈeɪ	ðˈeɪ	eng
783	forgot	fɝgˈɑt	fɝgˈɑt	eng
784	you	jˈu	jˈu	eng
785	orders	ˈɔɹdɝz	ˈɔɹdɝz	eng
786	they	ðˈeɪ	ðˈeɪ	eng
787				eng
788	they	ðˈeɪ	ðˈeɪ	eng
789	have	hˈæv	hˈæv	eng
790	sent	sˈɛnt	sˈɛnt	eng
791	you	jˈu	jˈu	eng
792	wrong	ɹˈɔŋ	ɹˈɔŋ	eng
793	items	ˈaɪtʌmz	ˈaɪtʌmz	eng
794	ehm	ɛm	ɛm	eng
795	they	ðˈeɪ	ðˈeɪ	eng
796	have	hˈæv	hˈæv	eng
797	cancelled	kˈænsʌld	kˈænsʌl	eng
798	the	ðʌ	ðə	eng
799	orders	ˈɔɹdɝz	ˈɔɹdɝz	eng
800	so	sˈoʊ	sˈoʊ	eng
801	you	jˈu	jˈu	eng
802	need	nˈid	nˈid	eng
803	to	tˈu	tˈu	eng
804	write	ɹˈaɪt	ɹˈaɪt	eng
805	the	ðʌ	ðʌ	eng
806	email	imˈeɪl	imˈeɪl	eng
807	to	tˈu	tˈu	eng
808	them	ðˈɛm	ðˈɘm	eng
809	and	ʌnd	æn	eng
810	you	jˈu	jˈu	eng
811	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
812	need	nˈid	nˈid	eng
813	to	tˈu	tˈu	eng
814				eng
815	know	nˈoʊ	nˈo	eng
816	what	wˈʌt	wˈʌt	eng
817	happened	hˈæpʌnd	hˈæpʌn	eng
818	exactly	ɪgzˈæktli	ɪgzˈætli	eng
819	yeah	jˈæ	jˈæ	eng
820				eng
821	reading	ɹˈidɪŋ	ɹˈidɪŋ	eng
822	and	ʌnd	ən	eng
823	writing	ɹˈaɪtɪŋ	ɹˈaɪtɪŋ	eng
824	is	ˈɪz	ˈɪz	eng
825	quite	kwˈaɪt	kwˈaɪt	eng
826	good	gˈʊd	gˈʊd	eng
827	maybe	mˈeɪbi	mˈeɪbi	eng
828	/bi/	bi	bi	eng
829	two	tu	tu	eng
830	or	ˈɔɹ	ˈɔɹ	eng
831	/si/ 	sˈi	sˈi	eng
832	one	wˈʌn	wˈan	eng
833	but	bˈʌt	bˈʌ	eng
834	speaking	spˈikɪŋ	spˈikɪŋ	eng
835				eng
836	no	nˈoʊ	nˈoʊ	eng
837				eng
838				eng
839				eng
840	yeah	jˈæ	jˈæ	eng
841	shopping	ʃˈɑpɪŋ	ʃˈɒpɪŋ	eng
842	shopping	ʃˈɑpɪŋ	ʃˈɒpɪŋ	eng
843	for	fˈɔɹ	fˈɔɹ	eng
844	me	mˈi	mˈi	eng
845	and	ʌnd	æn	eng
846	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
847	for	fˈɔɹ	fˈɔɹ	eng
848	others	ˈʌðɝz	ˈʌðɝz	eng
849				eng
850	mh	ˈɛm	ˈɛm	eng
851				eng
852	coz	kˈɑz	kˈɑz	eng
853				eng
854	yeah	jˈæ	jˈæ	eng
855	if	ˈɪf	ˈɪf	eng
856	you	jˈu	jˈu	eng
857	don't	dˈoʊnt	dˈoʊnt	eng
858	shop	ʃˈɒp	ʃˈɑp	eng
859	who	hˈu	hˈu	eng
860	who	hˈu	xˈu	eng
861	can	kˈæn	kˈən	eng
862	help	hˈɛlp	hˈɛlp	eng
863	you	jˈu	jˈu	eng
864				eng
865	/ɪ/	ɪ	ɪ	eng
866	/ɪ/	ɪ	ɪ	eng
867	if	ˈɪf	ˈɪf	eng
868	you	jˈu	jˈu	eng
869	don't	dˈoʊnt	dˈoʊnt	eng
870	go	gˈoʊ	gˈoʊ	eng
871	to	tˈu	tˈu	eng
872	the	ðʌ	ðə	eng
873	supermarket	sˈupɝmˌɑɹkɪt	sˈupɝmˌɑɹkɪt	eng
874	/ʤ/	ʤ	ʤ	eng
875	just	ʤˈʌst	ʤˈʌs	eng
876	like	lˈaɪk	lˈaɪk	eng
877	this	ðˈɪs	ðˈɪs	eng
878	situation	sˌɪʧuˈeɪʃʌn	sˌɪtuˈeɪʃʌn	eng
879	if	ˈɪf	ˈɪf	eng
880	you	jˈu	jˈu	eng
881	if	ˈɪf	ˈɪf	eng
882	you	jˈu	jˈu	eng
883	don't	dˈoʊnt	dˈoʊnt	eng
884	order	ˈɔɹdɝ	ˈɔɹdɝ	eng
885	the	ðʌ	ðə	eng
886	order	ˈɔɹdɝ	ˈɔɹdɝ	eng
887	the	ðʌ	ðə	eng
888	foods	fˈudz	fˈudz	eng
889	online	ˈɔnlˌaɪn	ˈɔnlˌaɪn	eng
890	or	ˈɔɹ	ˈɔɹ	eng
891	or	ˈɔɹ	ˈɔɹ	eng
892	from	fɹˈʌm	fɹˈʌm	eng
893	the	ðʌ	ðə	eng
894	supermarket	sˈupɝmˌɑɹkɪt	sˈupɝmˌɑɹkɪt	eng
895	then	ðˈɛn	ðˈɛn	eng
896				eng
897	who	hˈu	xˈu	eng
898	who	hˈu	xˈu	eng
899	can	kˈæn	kˈæn	eng
900	give	gˈɪv	gˈɪv	eng
901	you	jˈu	jˈu	eng
902	vegetables	vˈɛʤtʌbʌlz	vˈɛʤtʌbʌlz	eng
903				eng
904	I	ˈaɪ	ˈaɪ	eng
905	I	ˈaɪ	ˈaɪ	eng
906	know	nˈoʊ	nˈoʊ	eng
907	some	sˈʌm	sˈʌm	eng
908	websites	wˈɛbsˌaɪts	wˈɛbsˌaɪs	eng
909				eng
910	that	ðˈæt	ðˈæ	eng
911	they	ðˈeɪ	ðˈeɪ	eng
912	would	wˈʊd	wˈʊd	eng
913	send	sˈɛnd	sˈɛnd	eng
914	you	jˈu	jˈu	eng
915				eng
916	uh	ˈʌ	ˈʌ	eng
917				eng
918	fresh	fɹˈɛʃ	fɹˈeʃ	eng
919				eng
920	/ve/	ve	ve	eng
921	vegetables	vˈɛʤtʌbʌlz	vˈɛʒʌbʌlz	eng
922	and	ʌnd	ən	eng
923	meat	mˈit	mˈit	eng
924	but	bˈʌt	bˈʌ	eng
925				eng
926	/ha/	ha	ha	eng
927	/ha/	ha	ha	eng
928	how	hˈaʊ	hˈaʊ	eng
929	do	dˈu	dˈu	eng
930	you	jˈu	jˈu	eng
931	know	nˈoʊ	nˈoʊ	eng
932	that	ðˈæt	ðˈæt	eng
933	the	ðʌ	ðə	eng
934	one	wˈʌn	wˈan	eng
935	they	ðˈeɪ	ðˈeɪ	eng
936	they	ðˈeɪ	ðˈeɪ	eng
937	sent	sˈɛnt	sˈɛnt	eng
938	you	jˈu	jˈu	eng
939	is	ˈɪz	ˈɪz	eng
940	what	wˈʌt	wˈʌt	eng
941	is	ˈɪz	ˈɪz	eng
942	exactly	ɪgzˈæktli	ɪgzˈætli	eng
943	what	wˈʌt	wˈʌt	eng
944	you	jˈu	jˈu	eng
945	want	wˈɑnt	wˈɑnt	eng
946				eng
947	and	ʌnd	æn	eng
948	is	ˈɪz	ˈɪz	eng
949	it	ˈɪt	ˈɪt	eng
950	fresh	fɹˈɛʃ	fɹˈeʃ	eng
951	enough	ɪnˈʌf	ɪnˈʌf	eng
952	or	ˈɔɹ	ˈɔɹ	eng
953				eng
954	which	wˈɪʧ	wˈɪʃ	eng
955	kind	kˈaɪnd	kˈaɪn	eng
956	and	ʌnd	æn	eng
957				eng
958	and	ʌnd	ən	eng
959				eng
960	they	ðˈeɪ	ðˈeɪ	eng
961	they	ðˈeɪ	ðˈeɪ	eng
962	charge	ʧˈɑɹʤ	ʧˈɑɹʤ	eng
963	for	fˈɔɹ	fˈɔɹ	eng
964	the	ðʌ	ðə	eng
965	sending	sˈɛndɪŋ	sˈɛndɪŋ	eng
966	price	pɹˈaɪs	pɹˈaɪs	eng
967				eng
968	and	ʌnd	ən	eng
969	it's	ˈɪts	ˈɪts	eng
970	a	ʌ	ʌ	eng
971				eng
972	bit	bˈɪt	bˈɪt	eng
973	is	ˈɪz	ˈɪz	eng
974	expensive	ɪkspˈɛnsɪv	ɪspˈɛnsɪv	eng
975	I	ˈaɪ	ˈaɪ	eng
976	think	θˈɪŋk	θˈɪŋ	eng
977				eng
978	yeah	jˈæ	jˈæ	eng
979	/ɪ/	ɪ	ɪ	eng
980	/ɪ/	ɪ	ɪ	eng
981	if	ˈɪf	ˈɪf	eng
982	you	jˈu	jˈu	eng
983	don't	dˈoʊnt	dˈoʊnt	eng
984	shop	ʃˈɑp	ʃˈɒp	eng
985	you	jˈu	jˈu	eng
986	will	wˈɪl	wˈɪl	eng
987	die	dˈaɪ	dˈaɪ	eng
988				eng
989				eng
990	so	sˈoʊ	sˈoʊ	eng
991				eng
992	so	sˈoʊ	sˈoʊ	eng
993	you	jˈu	jˈu	eng
994	you	jˈu	jˈu	eng
995	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
996				eng
997				eng
998				eng
999	what's	wˈʌts	wˈʌts	eng
1000	more	mˈɔɹ	mˈɔɹ	eng
1001	ehm	ɛm	ɛm	eng
1002				eng
1003	you	jˈu	jˈu	eng
1004	seldom	sˈɛldʌm	sˈɛldʌm	eng
1005	go	gˈoʊ	gˈoʊ	eng
1006	to	tˈu	tˈu	eng
1007	the	ðʌ	ðə	eng
1008	cafeteria	kˌæfʌtˈɪɹiʌ	kˌæfɪtˈɪɹiə	eng
1009	coz	kˈɑz	kˈɑz	eng
1010				eng
1011	at	ˈæt	ˈæt	eng
1012	least	lˈist	lˈist	eng
1013	they	ðˈeɪ	ðˈeɪ	eng
1014				eng
1015	they	ðˈeɪ	ðˈeɪ	eng
1016	have	hˈæv	hˈæv	eng
1017	few	fjˈu	fjˈu	eng
1018	choices	ʧˈɔɪsʌz	ʧˈɔɪsʌz	eng
1019	and	ʌnd	æn	eng
1020	they	ðˈeɪ	ðˈeɪ	eng
1021	they	ðˈeɪ	ðˈeɪ	eng
1022	don't	dˈoʊnt	dˈoʊnt	eng
1023	cook	kˈʊk	kˈʊk	eng
1024	or	ˈɔɹ	ˈɔɹ	eng
1025	or	ˈɔɹ	ˈɔɹ	eng
1026	they	ðˈeɪ	ðˈeɪ	eng
1027				eng
1028	just	ʤˈʌst	ʤˈʌs	eng
1029				eng
1030	have	hˈæv	hˈæv	eng
1031	some	sˈʌm	sˈʌm	eng
1032	foods	fˈudz	fˈudz	eng
1033	at	ˈæt	ˈæt	eng
1034	night	nˈaɪt	nˈaɪt	eng
1035	they	ðˈeɪ	ðˈeɪ	eng
1036	don't	dˈoʊnt	dˈoʊnt	eng
1037	have	hˈæv	hˈæv	eng
1038	to	tˈu	tˈu	eng
1039	much	mˈʌʧ	mˈʌʧ	eng
1040	choices	ʧˈɔɪsʌz	ʧˈɔɪsʌz	eng
1041	and	ʌnd	æn	eng
1042				eng
1043	do	dˈu	dˈu	eng
1044	do	dˈu	dˈu	eng
1045	do	dˈu	dˈu	eng
1046	they	ðˈeɪ	ðˈeɪ	eng
1047	open	ˈoʊpʌn	ˈoʊpn	eng
1048	in	ɪn	ɪn	eng
1049	this	ðˈɪs	ðˈɪs	eng
1050	semester	sʌmˈɛstɝ	səmˈɛstɝ	eng
1051	no	nˈoʊ	nˈoʊ	eng
1052				eng
1053	even	ˈivɪn	ˈivɪn	eng
1054	even	ˈivɪn	ˈivɪn	eng
1055	at	ˈæt	ˈæt	eng
1056	noon	nˈun	nˈun	eng
1057				eng
1058	yeah	jˈæ	jˈæ	eng
1059	and	ʌnd	æn	eng
1060	but	bˈʌt	bˈʌʔ	eng
1061	but	bˈʌt	bˈʌt	eng
1062	not	nˈɑt	nˈɑt	eng
1063	in	ɪn	ɪn	eng
1064	the	ðʌ	ðə	eng
1065	holidays	hˈɑlʌdˌeɪz	hˈɑlɪdˌeɪz	eng
1066	I	ˈaɪ	ˈaɪ	eng
1067	mean	mˈin	mˈin	eng
1068				eng
1069	/ð/	ð	ð	eng
1070	this	ðˈɪs	ðˈɪs	eng
1071	is	ˈɪz	ˈɪz	eng
1072	summer	sˈʌmɝ	sˈʌmɝ	eng
1073	holiday	hˈɑlʌdˌeɪ	hˈɑlɪdˌeɪ	eng
1074	they	ðˈeɪ	ðˈeɪ	eng
1075	they	ðˈeɪ	ðˈeɪ	eng
1076	don't	dˈoʊnt	dˈoʊnt	eng
1077	open	ˈoʊpʌn	ˈoʊpn	eng
1078				eng
1079				eng
1080	they	ðˈeɪ	ðˈeɪ	eng
1081	open	ˈoʊpʌn	ˈoʊpʌn	eng
1082				eng
1083	two	tˈu	tˈu	eng
1084	or	ˈɔɹ	ˈɔɹ	eng
1085	three	θɹˈi	θɹˈi	eng
1086	meals	mˈilz	mˈjylz	eng
1087				eng
1088				eng
1089	/wɒ/	wɒ	wɒ	eng
1090	/wɒ/	wɒ	wɒ	eng
1091	what	wˈʌt	wˈʌt	eng
1092	if	ˈɪf	ˈɪf	eng
1093	I	ˈaɪ	ˈa	eng
1094	I	ˈaɪ	ˈaɪ	eng
1095	don't	dˈoʊnt	dˈoʊnt	eng
1096	like	lˈaɪk	lˈaɪk	eng
1097	the	ðʌ	ðə	eng
1098	foods	fˈudz	fˈudz	eng
1099	there	ðˈɛɹ	ðˈɛɹ	eng
1100	yeah	jˈæ	jˈæ	eng
1101				eng
1102				eng
1103				eng
1104	you	jˈu	jˈu	eng
1105	you	jˈu	jˈu	eng
1106	know	nˈoʊ	nˈoʊ	eng
1107	from	fɹˈʌm	fɹˈʌm	eng
1108	Chinese	ʧaɪnˈiz	ʧaɪnˈiz	eng
1109	campus	kˈæmpʌs	kˈæmpəs	eng
1110	you	jˈu	jˈu	eng
1111	you	jˈu	jˈu	eng
1112	have	hˈæv	hˈæv	eng
1113	so	sˈoʊ	sˈoʊ	eng
1114	many	mˈɛni	mˈɛni	eng
1115	choices	ʧˈɔɪsʌz	ʧˈɔɪsʌz	eng
1116	yeah	jˈæ	jˈæ	eng
1117				eng
1118				eng
1119				eng
1120	at	ˈæt	ˈæt	eng
1121	least	lˈist	lˈist	eng
1122	in	ɪn	ɪn	eng
1123	food	fˈud	fˈud	eng
1124	and	ʌnd	æn	eng
1125	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1126	the	ðʌ	ðə	eng
1127	opening	ˈoʊpʌnɪŋ	ˈoʊpʌnɪn	eng
1128	time	tˈaɪm	tˈaɪm	eng
1129				eng
1130	that's	ðˈæts	ðˈæts	eng
1131	true	tɹˈu	tɹˈu	eng
1132	and	ʌnd	æn	eng
1133				eng
1134	especially	ʌspˈɛʃli	ʌspˈɛʃələ	eng
1135	on	ˈɑn	ˈɑŋ	eng
1136	on	ˈɑn	ˈɑn	eng
1137	weekend	wˈikˌɛnd	wˈikˌɛnd	eng
1138	they	ðˈeɪ	ðˈeɪ	eng
1139	they	ðˈeɪ	ðˈeɪ	eng
1140	don't	doʊnt	doʊnt	eng
1141	cook	kˈʊk	kˈʊk	eng
1142	they're	ðˈɛɹ	ðˈɛɹ	eng
1143	closed	klˈoʊzd	klˈoʊzd	eng
1144	and	ʌnd	æn	eng
1145	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1146				eng
1147	and	ʌnd	ən	eng
1148	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
1149	in	ɪn	ɪn	eng
1150	holidays	hˈɑlʌdˌeɪz	xˈɑlʌdˌeɪz	eng
1151				eng
1152	you	jˈu	jˈu	eng
1153	you	jˈu	jˈu	eng
1154	don't	dˈoʊnt	dˈoʊnt	eng
1155				eng
1156				eng
1157				eng
1158	look	lˈʊk	lˈʊk	eng
1159	up	ˈʌp	ˈʌp	eng
1160	to	tˈu	tˈu	eng
1161	the	ðʌ	ðə	eng
1162	calendar	kˈælʌndɝ	kˈælʌndɝ	eng
1163	that	ðˈæt	ðˈæt	eng
1164	oh	ˈoʊ	ˈoʊ	eng
1165	today	tʌdˈeɪ	tʌdˈeɪ	eng
1166	is	ˈɪz	ˈɪz	eng
1167	a	ʌ	ʌ	eng
1168	holiday	hˈɑlʌdˌeɪ	hˈɑlʌdˌeɪ	eng
1169	they	ðˈeɪ	ðˈeɪ	eng
1170	don't	dˈoʊnt	dˈoʊnt	eng
1171	open	ˈoʊpʌn	ˈoʊpʌn	eng
1172				eng
1173	and	ʌnd	æn	eng
1174	from	fɹˈʌm	fɹˈʌm	eng
1175	their	ðˈɛɹ	ðˈɛɹ	eng
1176	website	wˈɛbsˌaɪt	wˈɛəsˌaɪt	eng
1177	that	ðˈæt	ðˈæt	eng
1178	they	ðˈeɪ	ðˈeɪ	eng
1179	don't	dˈoʊnt	dˈoʊnt	eng
1180	open	ˈoʊpʌn	ˈoʊpʌn	eng
1181	today	tʌdˈeɪ	tʌdˈeɪ	eng
1182				eng
1183				eng
1184				eng
1185				eng
1186				eng
1187	yeah	jˈæ	jˈæ	eng
1188	but	bˈʌt	bˈʌʔ	eng
1189				eng
1190	mh	ˈɛmˈ	ˈɛm	eng
1191				eng
1192	you	jˈu	jˈu	eng
1193	have	hˈæv	hˈæv	eng
1194	to	tˈu	tˈu	eng
1195	cook	kˈʊk	kˈʊk	eng
1196	yourself	jɝsˈɛlf	jɝsˈɛlf	eng
1197	and	ʌnd	ʌnd	eng
1198	go	gˈoʊ	gˈoʊ	eng
1199	to	tˈu	tˈu	eng
1200	the	ðə	ðʌ	eng
1201	supermarket	sˈupɝmˌɑɹkɪt	sˈupɝmˌɑɹkɪt	eng
1202	by	bˈaɪ	bˈaɪ	eng
1203	yourself	jɝsˈɛlf	jɝsˈɛlf	eng
1204				eng
1205	yeah	jˈæ	jˈæ	eng
1206	and	ʌnd	æn	eng
1207				eng
1208	I	ˈaɪ	ˈaɪ	eng
1209	I	ˈaɪ	ˈaɪ	eng
1210	would	wˈʊd	ˈʊd	eng
1211				eng
1212	I	ˈaɪ	ˈaɪ	eng
1213	uh	ɛ	ɛ	eng
1214	how	hˈaʊ	hˈaʊ	eng
1215	to	tˈu	tˈu	eng
1216	say	sˈeɪ	sˈeɪ	eng
1217				eng
1218	sometimes	sʌmtˈaɪmz	sʌmtˈaɪmz	eng
1219	I	ˈaɪ	ˈaɪ	eng
1220	I	ˈaɪ	ˈaɪ	eng
1221	want	wˈɑnt	wˈɑnt	eng
1222	to	tˈu	tˈu	eng
1223	cook	kˈʊk	kˈʊk	eng
1224	now	nˈaʊ	nˈaʊ	eng
1225	but	bˈʌt	bˈʌt	eng
1226	my	mˈaɪ	mˈaɪ	eng
1227	Indian	ˈɪndiʌn	ˈɪndiʌn	eng
1228	neighbour	nˈeɪbɝ	nˈeɪbɝ	eng
1229	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1230	want	wˈɑnt	wˈɑnt	eng
1231	to	tˈu	tˈu	eng
1232	cook	kˈʊk	kˈʊk	eng
1233				eng
1234				eng
1235	ehm	ɛm	ɛm	eng
1236				eng
1237	German	ʤˈɝmən	ʤˈɝmʌn	eng
1238	Chinese	ʧaɪnˈiz	ʧaɪnˈiz	eng
1239	food	fˈud	fˈud	eng
1240				eng
1241	combined	kʌmbˈaɪnd	kʌmbˈaɪnd	eng
1242	you	jˈu	jˈu	eng
1243				eng
1244	uh	ˈʌ	ˈʌ	eng
1245				eng
1246	/sʌ/	sʌ	sʌ	eng
1247	some	sˈʌm	sˈʌm	eng
1248	vegetables	vˈɛʤtʌbʌlz	vˈɛʤʌbəlz	eng
1249	you	jˈu	jˈu	eng
1250	just	ʤˈʌst	ʤˈʌs	eng
1251	cook	kˈʊk	kˈʊk	eng
1252	you	jˈu	jˈu	eng
1253	you	jˈu	jˈu	eng
1254	just	ʤˈʌst	ʤˈʌs	eng
1255	boil	bˈɔɪl	bˈɔɪl	eng
1256	them	ðˈɛm	ðˈɛm	eng
1257	with	wˈɪð	wˈɪð	eng
1258	with	wˈɪð	wˈɪð	eng
1259	sauce	sˈɔs	sˈɔrs	eng
1260	and	ʌnd	æn	eng
1261	some	sˈʌm	sˈʌm	eng
1262				eng
1263	some	sˈʌm	sˈʌm	eng
1264	meals	mˈilz	mˈɪlz	eng
1265	like	lˈaɪk	lˈaɪk	eng
1266				eng
1267	mh	ˈɛmˈ	ˈɛmˈ	eng
1268	what's	wˈʌts	wˈʌts	eng
1269	that	ðˈæt	ðˈæt	eng
1270	word	wˈɝd	wˈɝd	eng
1271	what's	wˈʌts	wˈʌts	eng
1272	that	ðˈæt	ðˈæt	eng
1273	word	wˈɝd	wˈɝd	eng
1274				eng
1275	steak	stˈeɪk	stˈeɪk	eng
1276				eng
1277	yeah	jˈæ	jˈæ	eng
1278	it's	ˈɪts	ˈɪts	eng
1279	quite	kwˈaɪt	kwˈaɪt	eng
1280	easy	ˈizi	ˈizi	eng
1281	to	tˈu	tˈu	eng
1282	cook	kˈʊk	kˈʊk	eng
1283	huh	hˈʌ	hˈʌ	eng
1284				eng
1285	steaks	stˈeɪks	stˈeɪks	eng
1286	from	fɹˈʌm	fɹˈʌm	eng
1287	the	ðʌ	ðə	eng
1288	supermarket	sˈupɝmˌɑɹkɪt	sˈupɝmˌɑɹkɪt	eng
1289	just	ʤˈʌst	ʤˈʌst	eng
1290	fry	fɹˈaɪ	fɹˈaɪ	eng
1291	them	ðˈɛm	ðˈɛm	eng
1292	in	ɪn	ɪn	eng
1293	the	ðʌ	ðə	eng
1294	oil	ˈɔɪl	ˈɔɪl	eng
1295	I	ˈaɪ	ˈa	eng
1296	I	ˈaɪ	ˈaɪ	eng
1297	think	θˈɪŋk	θˈɪŋk	eng
1298	it's	ˈɪts	ˈɪts	eng
1299	it's	ˈɪts	ˈɪts	eng
1300	German	ʤˈɝmʌn	ʤˈɝmən	eng
1301	food	fˈud	fˈʊd	eng
1302	and	ʌnd	æn	eng
1303	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1304	also	ˈɔlsoʊ	ˈɔlsoʊ	eng
1305	boiled	bˈɔɪld	bˈɔɪld	eng
1306	vegetables	vˈɛʤtʌbʌlz	vˈɛʤʌbəlz	eng
1307	quite	kwˈaɪt	kwˈaɪt	eng
1308	easily	ˈizʌli	ˈizʌli	eng
1309				eng
1310	æn	ʌnd	ʌnd	eng
1311	ehm	ɛm	ɛm	eng
1312	smashed	smˈæʃt	smˈæʃt	eng
1313	smashed	smˈæʃt	smˈæʃət	eng
1314	potatoes	pʌtˈeɪtoʊz	pʌtˈeɪtus	eng
1315	yeah	jˈæ	jˈæ	eng
